Ticker,Gross Margin (TTM),Operating Margin (TTM),Pretax Margin (TTM),Net Margin (TTM)
ARKR,12.05480281,5.00423421,2.3306315,2.57198161
BHLB,,25.3440936,20.85401483,17.07575526
VIAC,31.54558483,13.95105281,9.81699923,11.4044758
BKE,43.93149045,14.60665546,15.29646078,11.59994846
CPA,28.2266655,16.08538499,10.83837382,9.12322783
SOLN,29.95659149,24.15306219,30.86722657,22.43559498
WPC,51.48721637,27.61196965,26.70905269,24.49442189
TOT,9.22172001,9.22172001,7.88961156,6.39169981
KNL,38.44537815,9.60084034,6.36554622,4.72689076
MN,88.13826465,9.29632912,7.48485597,1.11201499
FL,29.53154279,8.91942536,8.5196752,6.22111181
TNP,23.59512197,18.95928389,2.34411352,2.53107352
NAT,25.90694838,18.22275165,-5.89908293,-5.89908293
T,38.01450914,16.75833724,10.1883982,7.66998593
FHN,,26.99373891,25.72719937,19.36832043
CVX,6.19006165,-0.01498459,3.95022263,2.08642539
SWM,28.32811276,13.42012529,9.48512138,8.33985904
SAMG,,17.99150901,20.14164694,8.45773091
